,filename,entry number,composition,OH lengths,bulk_id,miller_index,nads,traj_id,bulk_symbols,slab_sid,ads_symbols,y_relaxed,natoms,nads2,adsorption_energy
73085,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,576,HK10Mo40O85,[0.9801873181238123],mp-504907,"(0, 0, 1)",1,K-MoO2-4_mp-504907_7711gypwCy_VSD2FHfpGx,K4Mo16O32,73732,OH,-949.47487215,136,1,2.38966676000004
34825,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,580,H2Cr16O62Sb16,"[0.9792932126556912, 0.9764693940900742]",CrSbO4-rutile,"(2, 1, 1)",2,CrSbO4_CrSbO4-rutile_MxAmoaDbLO_aR7NaIuYtF,Cr1Sb1O4,81046,OH,-641.23686198,96,2,0.7737852350000196
68934,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,596,H4Ga16O44Ti8,"[0.9889256419146283, 1.0221333149025604, 1.0075102286410829, 10.403358442492486]",mp-760501,"(0, 1, 0)",4,TiGa2O5_mp-760501_XDXbkv3D3X_JUTZbtoMlV,Ti4Ga8O20,70471,OH,-485.27583678,72,4,1.3089357174999918
76098,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,597,HCo14Mn32O65,[0.9765901960543572],mp-1221996,"(1, 1, -1)",1,Mn2CoO4_mp-1221996_tzKUQM9XM0_p9tsvqm16W,Mn8Co4O16,77152,OH,-786.4734922,112,1,1.5686504300000197
18084,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,609,H3Cd12Mg28O43,"[0.9718478918164978, 1.0831135914262995, 8.195264318198925]",mp-1099255,"(1, 0, 0)",3,Mg3CdO4_mp-1099255_aP8Vg5EXcd_GqkMatNh8G,Mg3Cd1O4,15830,OH,-439.32674065,86,3,1.4803148933333337
9879,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,611,H2Ag16Ga16O26,"[0.9749162512996161, 0.9740747470047942]",mp-1105293,"(0, 1, 0)",2,GaAgO2_mp-1105293_rVVc2Y3RVz_9eBB0Pbb6l,Ga4Ag4O8,35802,OH,-279.95001288,60,2,-0.5298014999999907
39078,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,613,HAl16Na16O29,[0.9797758679957074],mp-9212,"(0, 1, 1)",1,NaAlO2_mp-9212_8fYYMAlS51_v1juBWhhWI,Na4Al4O8,19413,OH,-368.13317289,62,1,-1.714035110000026
78432,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,623,H3Mn48Ni24O75,"[0.9689989270644794, 0.9761009147499426, 9.948561851038832]",mp-1221937,"(1, 3, 3)",3,Mn2NiO3_mp-1221937_NRSUQNuNgP_qSUIpJDxsB,Mn4Ni2O6,73070,OH,-989.53659493,150,3,-0.3018669966666702
35915,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,637,HMo22O61Zn22,[0.9723965880764849],mvc-4002,"(2, 1, 0)",1,ZnMoO3_mvc-4002_FHCXUj9t7r_qwSfgpJF1C,Zn4Mo4O12,29841,OH,-626.85914509,106,1,0.8307618099999843
30804,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,678,H10Au16O70Rh16,"[0.9702732840371707, 1.009559921309403, 1.0007438052214692, 8.879926393355733, 1.0607928365617842, 1.0638277154246638, 0.9782314656369714, 0.9973970228395475, 11.971859626750394, 1.0213769624567253]",RhAuO4-rutile,"(1, 1, 2)",10,RhAuO4_RhAuO4-rutile_cgX5rI6MNm_pya02mCiVV,Rh1Au1O4,715,OH,-579.84713462,112,10,0.4929972359999965
13055,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,680,HAl16O31Rb16,[0.9723248136855436],mp-14070,"(1, 1, 0)",1,RbAlO2_mp-14070_HX9vHKSq6T_P19yIQyPYX,Rb8Al8O16,24730,OH,-383.78376141,64,1,-3.257250379999988
36029,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,717,HCo23Na12O31,[0.9720749463071156],mp-1295695,"(1, 2, -2)",1,NaCo2O3_mp-1295695_L9LhhDLeaY_2mO3wv8mrO,Na2Co4O6,945,OH,-351.67586355,67,1,-1.0794883099999597
21387,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,727,HO63W16Y16,[0.9735889961166186],mp-770639,"(0, 0, 1)",1,Y2W2O9_mp-770639_pC3alFCeAB_WzHOeaeQMt,Y8W8O36,23644,OH,-765.86943774,96,1,-1.8651448399999992
10413,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,731,HGa8O25Sb8,[0.9733699400741308],mp-1224786,"(1, 1, 1)",1,GaSbO4_mp-1224786_ac6UPnPA6V_EWu10xOZ4v,Ga2Sb2O8,20029,OH,-240.78525019,42,1,-0.0664844499999901
45157,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,743,HMg18O67W18,[0.9685550280016149],mp-609151,"(1, 3, -3)",1,90423983570956_MgWO4_mp-609151_5L4Isxw0e9_Ff7jj9ESfP,Mg2W2O8,42832,OH,-707.47014062,104,1,-1.200951920000108
78765,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,751,HHf40O77,[0.9643590427876466],mp-1018721,"(1, 1, 3)",1,HfO2_mp-1018721_ruYZ2OEcro_Iqbw9HIBu2,Hf2O4,73019,OH,-1169.34486195,118,1,-4.31523820999999
19570,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,752,HCo32O65Y16,[7.704613084054921],mvc-4610,"(1, 1, 2)",1,Y-CoO2-2_mvc-4610_HO3heqwJSn_ps2vjhI7za,Y4Co8O16,80229,OH,-773.16997587,114,1,1.1400492899999506
37680,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,773,HCr8K32O29,[0.9770211299678231],mp-1211715,"(1, 1, 1)",1,K4CrO4_mp-1211715_xVdxmJHxSn_LwunnPGm8B,K8Cr2O8,34489,OH,-336.07710706,70,1,-1.4877774699999975
41912,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,795,H2O33Tl18,"[0.9891394655160822, 0.9900713576431773]",mp-1216564,"(0, 0, 1)",2,235508583253254_Tl2O3_mp-1216564_eO2jDDqDtd_WdblRHN8Vu,Tl2O3,42655,OH,-234.02373132,53,2,-2.737896120000002
27766,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,839,HCa16O61Se24,[3.3547997932684237],mp-28535,"(1, -2, -1)",1,Ca2Se3O8_mp-28535_hL8uajx8Y3_grKAhYLAVv,Ca4Se6O16,29405,OH,-574.30228884,102,1,-2.794978469999961
2354,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,840,HO41Re8V10,[11.04247551679975],mp-1288961,"(2, 0, 1)",1,VReO4_mp-1288961_FXOUi0fzfM_KeERpQxbDz,V8Re8O32,31980,OH,-474.72566381,60,1,2.896117729999986
39767,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,857,H2Cr45O44,"[0.9729957355936357, 0.9727925306670304]",mp-755073,"(2, 2, 1)",2,CrO_mp-755073_WWeBkxK9Qh_3r8pkXJtGD,Cr4O4,31778,OH,-671.64503485,91,2,-0.3551781399999925
34166,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,859,HGa24Lu24O67,[0.9722701435738393],mp-768505,"(1, 1, 0)",1,LuGaO3_mp-768505_CE8e4zTVqy_KVv3s3kzKq,Lu6Ga6O18,23356,OH,-812.55487043,116,1,-2.0215823200000216
15697,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,870,HO21Sn8Y8,[0.9748123335473011],mvc-15767,"(0, 1, 0)",1,YSnO3_mvc-15767_yTyQwPjLZG_7Z2rNUqZxJ,Y4Sn4O12,31451,OH,-273.16618132,38,1,-1.4731186700000478
14353,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,877,HO45Si12V24,[12.18284062077934],mp-772047,"(0, 1, 0)",1,V2SiO4_mp-772047_KqPuRIpK0k_VFU7gwPri2,V8Si4O16,13267,OH,-622.28176355,82,1,-1.4226825900000506
83374,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,922,H3In7O26Sn6,"[0.9797487249216901, 0.9793073133796856, 8.857887290942744]",mp-1223964,"(0, 1, -1)",3,1029368_In4-SnO4-3_mp-1223964_elZZDLIMyH_QeDf7Ie7dg,In4Sn3O12,83269,OH,-231.92225737,42,3,1.0421539799999948
70535,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,927,HLi64Nb16O73,[0.9701612958273048],mp-28030,"(0, 0, 1)",1,Li8Nb2O9_mp-28030_z9PsNBBjI9_P7NenSsXBN,Li32Nb8O36,77168,OH,-996.40758247,154,1,1.7215703000000246
14887,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,931,HMg8Mo32O65,[0.9697266778948052],mvc-253,"(2, -1, -1)",1,Mg-MoO2-4_mvc-253_jmCy37DKtl_J6cEh0kyqN,Mg1Mo4O8,32927,OH,-730.29819581,106,1,-1.3214956500000028
69499,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,956,HCs8O21Sr8,[0.9708458145393648],mp-1183972,"(1, 1, 0)",1,CsSrO3_mp-1183972_nEtZcXNpGs_fvqfwV7w8v,Cs1Sr1O3,76344,OH,-174.56170753,38,1,-0.8779141400000015
43030,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,984,HNi5O37W10,[0.9964515550858289],mp-25292,"(2, 0, -1)",1,414325470_Ni-WO4-2_mp-25292_BYYGQUefq1_LmPoLC7N9K,Ni1W2O8,45785,OH,-350.21995396,53,1,0.471783629999976
3234,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,988,HFe8O63W16,[0.9916045577931947],mvc-657,"(1, 1, -1)",1,Fe-WO4-2_mvc-657_cV24pqWalu_2vFTlh8fEs,Fe2W4O16,3566,OH,-618.82238167,88,1,-1.3679086500000324
73114,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,993,H2Fe22Nb22O94,"[0.9722716327118205, 0.9838202830629829]",mp-22194,"(2, 0, 1)",2,NbFeO4_mp-22194_eg08QOYySp_cmCKi4LzRl,Nb2Fe2O8,73384,OH,-1070.24945835,140,2,2.138537194999998
33549,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,997,HO31Rb8V12,[0.9723330230254091],mp-510519,"(1, 0, 0)",1,Rb2V3O8_mp-510519_X0Ud6tCCXn_E5MQn1WeBc,Rb4V6O16,24661,OH,-350.89296317,52,1,-1.2716807999999844
26201,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,1059,HHg32O57Si16,[0.9727359486323055],mp-779704,"(1, 0, 1)",1,Si-HgO2-2_mp-779704_70W5Rx6smk_d9yK1ytUV6,Si8Hg16O32,19870,OH,-512.24416761,106,1,1.1768432400000108
78531,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,1073,H2K64O78Sb32,"[0.9764740929531075, 0.9753420126235144]",mp-757850,"(0, 0, 1)",2,K4Sb2O5_mp-757850_zmpJW3y9xp_Bi3AchLPux,K16Sb8O20,81028,OH,-856.31787102,176,2,-0.2935402500000066
27480,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,1081,HK12O51Si24,[0.9714693253126926],mp-558603,"(1, 0, 1)",1,K2Si4O9_mp-558603_pgxXeTwzp4_tMvyMyIMi1,K4Si8O18,25081,OH,-609.18512898,88,1,-2.9009425199999725
15530,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,1095,H3O67Pt30,"[0.9837611611020927, 1.789953571302059, 0.9828249489486843]",mp-7868,"(3, 1, 1)",3,PtO2_mp-7868_By764CIVxG_8J49lgTRr9,Pt2O4,7865,OH,-553.11778192,100,3,0.2814532966666642
32395,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,1101,HMn16Mo16O61,[0.9710752482229938],mp-19455,"(1, 1, 0)",1,MnMoO4_mp-19455_fukTNLATiO_XoFYvE0Ra3,Mn2Mo2O8,5171,OH,-687.61153437,94,1,-0.1400308100000131
30624,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,1107,HO49V2Zr22,[0.9755806137096762],mp-759463,"(2, 1, 0)",1,Zr9VO20_mp-759463_AQElFTSac2_0NAx1kvUMf,Zr9V1O20,9351,OH,-669.52501876,74,1,-2.1051060000000064
15890,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0002.lmdb,1108,H3Ba16O67W16,"[0.9682772353832201, 0.9978678126619206, 0.9830702920630283]",mp-565970,"(2, 1, -1)",3,BaWO4_mp-565970_zPO2Dn68Mi_aYjuGaQLqb,Ba4W4O16,11867,OH,-714.61096168,102,3,1.3725671433333464
15460,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,17,H3Mg16O59Sb32,"[0.9940391044739072, 0.9755853134876888, 0.9761482147918451]",mp-27219,"(1, 0, 1)",3,Mg-SbO2-2_mp-27219_y2Wr2nhfwC_s6d5WQtjkP,Mg4Sb8O16,79920,OH,-634.94733157,110,3,-1.06862853333332
40018,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,19,H2Cr16Ir16O54,"[9.65818046131466, 0.9846513807935174]",CrIrO4-rutile,"(3, 0, 1)",2,CrIrO4_CrIrO4-rutile_2a5DVODGNS_IRC68UHX89,Cr1Ir1O4,28138,OH,-618.00774533,88,2,0.0846156849999886
73558,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,44,HCa20O41W8,[0.9696222897018876],mp-779906,"(0, 0, 1)",1,Ca3WO6_mp-779906_WFrbjZQfZq_uJoAVVMkRY,Ca6W2O12,74192,OH,-479.47865479,70,1,-2.271505029999986
28777,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,48,HFe14O49Si16,[1.0118128645341935],mp-1212736,"(0, 2, 1)",1,Fe7-SiO3-8_mp-1212736_EFuKqbTDGS_eeGzfjz5cb,Fe14Si16O48,19326,OH,-570.82684686,80,1,5.710360909999935
31217,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,52,HBa24Ca24O45,[0.9681471040445532],mp-756930,"(1, 2, 1)",1,BaCaO2_mp-756930_hYBX3wHf7Y_0irTpX5cdj,Ba4Ca4O8,16247,OH,-547.92312708,94,1,-1.7448144999999895
10938,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,61,HO15Ti32Zr16,[0.9732162852965209],mp-1215204,"(1, 2, 2)",1,ZrTi2O_mp-1215204_fPQlDAwsIZ_59J4bX19a0,Zr2Ti4O2,15070,OH,-526.23541434,64,1,-2.5459472400000607
33092,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,67,HCo30Na10O37,[0.9893429589471975],mp-752749,"(1, 0, 2)",1,NaCo3O4_mp-752749_mSouOc7NpS_Zye9KWKdIk,Na2Co6O8,25835,OH,-419.46171954,78,1,-1.4099730800000143
43508,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,91,H2O52Ta20,"[11.956229931722513, 0.9697143316871847]",mvc-4415,"(2, 1, 2)",2,90423983501299385769012_Ta2O5_mvc-4415_38vFw6mk8n_eKfWhxYM0t,Ta4O10,44617,OH,-687.33361918,74,2,-0.3342262850000281
81981,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,99,HAl12Nb12O49,[0.9717402350664961],mp-27927,"(1, 1, 0)",1,1026124_NbAlO4_mp-27927_wZ5yUnlVgw_PatCemJ8C9,Nb4Al4O16,81432,OH,-604.50028234,74,1,1.3786739599999862
43621,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,102,H2Au22Co24O96,"[0.9907664040073707, 0.9842013105776722]",CoAuO4-rutile,"(1, 1, 3)",2,414325470_CoAuO4_CoAuO4-rutile_XkvMfJjBh4_u4FrT1RXKr,Co1Au1O4,44636,OH,-692.79007913,144,2,0.882343904999999
33420,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,115,HCo8O39Si16,[0.9802239638732626],mvc-11366,"(1, 0, 0)",1,Co-SiO3-2_mvc-11366_oQK0CsEyEk_ctxizJww75,Co4Si8O24,14731,OH,-440.5266694,64,1,-0.1487120299999844
24204,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,152,HHf24Li24O53,[12.1718267748168],mp-770743,"(0, 1, 0)",1,Li2Hf2O5_mp-770743_kA6MYe4JnT_uNSRTWEidz,Li8Hf8O20,31242,OH,-814.53901444,102,1,-2.913069959999945
8069,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,188,HNa16O53Si24,[0.9765737650062524],mp-556198,"(1, 0, -1)",1,Na2Si3O7_mp-556198_GgTNYVeSLB_Z3PmhcCo8I,Na8Si12O28,20085,OH,-638.00531261,94,1,-2.945211510000064
17561,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,223,HO89Re16W16,[0.9753166992135655],mvc-5744,"(1, 0, 0)",1,ReWO6_mvc-5744_cFx5Qjtw1c_XZta5i8Tld,Re4W4O24,23113,OH,-957.07540747,122,1,1.163478180000055
18359,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,237,H2Ba16O44Sn16,"[0.9714773874321312, 0.972242477688395]",mp-1178513,"(1, 1, 2)",2,BaSnO3_mp-1178513_uIEhj2BY9k_0772QW5VZ7,Ba4Sn4O12,35389,OH,-471.6745128,78,2,-0.893402309999999
14196,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,284,HO61Ta16V16,[0.9704374544643876],mp-755190,"(1, 0, 0)",1,TaVO4_mp-755190_fp7s3j3XnF_amBnqnfKSZ,Ta4V4O16,33924,OH,-837.03418593,94,1,-2.069947610000014
5108,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,288,HO49Sr27,[0.9684065980568101],mp-2697,"(3, 0, 1)",1,SrO2_mp-2697_mdsNjiQX8y_B8EDuP89SL,Sr2O4,33572,OH,-429.88207136,77,1,-0.2368643100000156
14474,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,357,HO27Rb6V10,[0.971780546773168],mp-1190911,"(1, 0, 0)",1,Rb3V5O14_mp-1190911_JkTJz5zUQG_39QhnL4ESU,Rb3V5O14,19893,OH,-298.32558206,44,1,-0.8443543300000158
24345,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,360,H10O50Ta16Tl16,"[7.383848278825988, 1.0476475382004447, 5.158861099992886, 0.9749557125156255, 4.3981076575493825, 0.9862210413474779, 4.443775580784236, 0.9735362088223247, 1.6884722987756202, 2.6497682538106027]",mp-861873,"(1, 1, 0)",10,TaTlO3_mp-861873_phJVOZMozT_LTIOYYHf7X,Ta1Tl1O3,28752,OH,-669.65918288,92,10,-0.6328842240000029
24791,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,361,H2Ga16Ir16O54,"[0.9859167152732019, 0.9856790340735555]",GaIrO4-rutile,"(1, 1, 2)",2,GaIrO4_GaIrO4-rutile_TAEzsBVR1V_ifVZJtVMgQ,Ga1Ir1O4,18169,OH,-536.04008419,88,2,-0.7163931949999949
24794,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,370,HFe6O47W12,[1.0248876746434414],mp-25197,"(1, 1, 1)",1,Fe-WO4-2_mp-25197_iOFvDkY4KK_1IbUxsaHpE,Fe4W8O32,21668,OH,-460.68297999,66,1,0.8071276600000203
15453,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,401,HNi4O35Re15,[0.9855538134867919],mp-1219614,"(1, 1, 1)",1,Re3NiO8_mp-1219614_Ytz5RvaMBt_ctBf2l4zOg,Re6Ni2O16,80486,OH,-426.38139235,55,1,-1.0695465400000046
31031,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,416,H2Ag16O46Ta16,"[0.9716444106234124, 0.9730309560331268]",mp-1187189,"(2, 1, 1)",2,TaAgO3_mp-1187189_d03qYnaJyh_zTjo9GZMGF,Ta1Ag1O3,16562,OH,-614.94291329,80,2,-1.077198559999971
14759,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,469,HCr6Li16O23,[0.9794818667298821],mp-770632,"(0, 1, 1)",1,Li3CrO4_mp-770632_t64cYfLRy5_DxBBjlEvBV,Li6Cr2O8,15980,OH,-268.84695375,46,1,2.4281209799999885
34157,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,514,HAl32Ba16O65,[0.992555223304359],mp-4202,"(1, 0, 0)",1,BaAl2O4_mp-4202_7EM3LQNXsq_B2UvDNF1wX,Ba8Al16O32,13567,OH,-800.65067186,114,1,-0.3397017400000379
70165,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,522,HO97Sb48,[9.472581975414828],mp-1219481,"(1, 1, 0)",1,Sb6O13_mp-1219481_h92Ny04IlV_LkL3r1LTm3,Sb12O26,76049,OH,-867.49680663,146,1,1.2893234899999868
41442,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,539,HO27Rb28Tl28,[0.9716946024504569],mp-1206230,"(0, 1, 1)",1,90423983534_RbTlO_mp-1206230_2v7FpoUWRf_VLonuiNne9,Rb4Tl4O4,44513,OH,-297.09451761,84,1,-1.0095685700000274
37872,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,554,HCd24O57Se24,[1.0252161658924632],mp-542117,"(1, 0, -2)",1,Cd3Se3O10_mp-542117_YPAOg8K49g_utnB9TmlSQ,Cd6Se6O20,33397,OH,-462.37898031,106,1,-1.394987309999948
40062,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,560,HMg8Na32O25,[0.9656978022407869],mp-754369,"(0, 1, 0)",1,Na4MgO3_mp-754369_W5ItMTSboT_n2TMRdYLVe,Na16Mg4O12,35124,OH,-272.92258107,66,1,-0.1756374100000073
10856,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,571,HMn24O49W8,[0.9734145327594182],mp-19158,"(1, 1, 0)",1,Mn3WO6_mp-19158_EOwC4BDo7k_3OCCtjKS0O,Mn18W6O36,4290,OH,-622.67144805,82,1,0.6797585500000594
78597,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,584,H6Mg16O32Zn10,"[0.9709899462793276, 1.0167058361233368, 0.9808699844783154, 1.0255292850473066, 1.9600138189757348, 0.9801406242124555]",mp-1222123,"(1, 0, 0)",6,Mg2ZnO3_mp-1222123_f1o7Pet3Gn_nmpr3MeGPm,Mg2Zn1O3,78893,OH,-325.99607657,64,6,0.3795402666666613
40071,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,587,H2Ge20O74Ru18,"[0.9810602107817421, 0.9783034777606784]",GeRuO4-rutile,"(2, 2, 1)",2,GeRuO4_GeRuO4-rutile_aFvdRtGKuY_cegNCVpGfB,Ge1Ru1O4,3158,OH,-762.05942093,114,2,-0.112211110000004
74888,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,616,HO45Rb10Se12,[1.6405988030774332],mp-1209207,"(1, 0, 0)",1,RbSeO4_mp-1209207_jwvGEAcC3E_CK5ABxZGKo,Rb3Se3O12,69637,OH,-333.26373598,68,1,-0.8472851199999525
21867,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,635,H2K6O50Ti24,"[0.9987582230566432, 0.9718025976034026]",mp-1211178,"(1, 0, 0)",2,KTi4O8_mp-1211178_4kPVbNjlV4_R3cQJPFRjV,K2Ti8O16,1596,OH,-668.33510518,82,2,-0.3856341700000314
19294,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,660,H4As16Ga16O60,"[0.9780512531801531, 0.9857288019072309, 0.9765894259275393, 0.9964080813842398]",GaAsO4-rutile,"(3, 0, 1)",4,GaAsO4_GaAsO4-rutile_boQm4PeUKh_wBHgY9YrAe,Ga1As1O4,25532,OH,-556.13965095,96,4,0.505548019999992
74193,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,680,HCd16O61Se16,[0.9789547234835901],mp-756703,"(0, 1, 0)",1,CdSeO4_mp-756703_PLPHId9IAE_C8sHrOfRdC,Cd4Se4O16,70754,OH,-446.84347744,94,1,1.8970795599999803
14891,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,688,H2Au24Co24O40,"[0.974665368269856, 0.975412091643086]",mp-997158,"(1, 0, 0)",2,CoAuO2_mp-997158_SInuFNCJYG_OxX1RlmnDo,Co2Au2O4,1287,OH,-446.46359546,90,2,0.0474685649999742
1545,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,709,HCr24O57Rb8,[0.971846268651466],mp-30547,"(1, 1, 2)",1,RbCr3O8_mp-30547_59gYB7T4z3_BWYVQ832Zz,Rb2Cr6O16,38916,OH,-597.82233388,90,1,-1.380254829999927
21973,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,716,HCa32O25,[0.9752612951335566],mp-545512,"(1, 0, 1)",1,CaO_mp-545512_orZpM6dQMS_Q2IrSxTDNE,Ca2O2,37150,OH,-324.0926086,58,1,-2.6847274800000207
39962,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,720,HCd24O65Se24,[0.9781866744948687],mp-542117,"(1, 0, -1)",1,Cd3Se3O10_mp-542117_rYHe1kJdLU_GlV5FiZMaJ,Cd6Se6O20,19100,OH,-513.99237213,114,1,0.9969348199999502
4501,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,753,HGa28O69V14,[0.975509959995674],mp-756465,"(1, 0, -1)",1,VGa2O5_mp-756465_7t9zOviBGF_1z9JGmBu1V,V2Ga4O10,14623,OH,-724.13503007,112,1,-1.01173696999993
82894,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,755,HAs16O73Rh20,[8.446189090333407],AsRhO4-rutile,"(1, 1, 1)",1,1020269_AsRhO4_AsRhO4-rutile_yKBDVmih42_1GsrET1A23,As1Rh1O4,81485,OH,-661.92507552,110,1,-0.8904492599999969
37460,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0003.lmdb,768,HBa24O33Zr4,[0.9749245149534131],mp-755556,"(1, 1, 0)",1,Ba6ZrO8_mp-755556_AiXhQZb6sM_XyswVCnFeY,Ba24Zr4O32,38555,OH,-403.31872127,62,1,0.1785822399999972
