,system_id,bulk_id,miller_index,nads,bulk_symbols,slab_sid,ads_symbols,adsorption_energy
5942,29220,mp-996964,"(3, 1, 2)",1,Cd2Ag2O4,34003,O2,4.504844100000007
5944,44837,mp-996964,"(2, 0, 1)",2,Cd2Ag2O4,45673,H2O,-0.5730963999999918
5945,9665,mp-996964,"(3, 1, 2)",2,Cd2Ag2O4,34003,O,2.23610913499999
5946,31247,mp-996964,"(1, 2, 2)",4,Cd2Ag2O4,34409,O,2.4583786674999972
5949,35924,mp-996964,"(2, 3, 2)",1,Cd2Ag2O4,24491,H2O,-0.9214947600000248
5950,41386,mp-996964,"(1, 0, 3)",2,Cd2Ag2O4,45131,O,1.3045690750000152
5951,24,mp-997036,"(2, 0, 1)",2,Cd2Au2O4,23610,O,2.46314724000001
5954,37842,mp-997036,"(1, -1, -1)",1,Cd2Au2O4,24805,H2O,-0.228003590000009
5960,44621,mp-997036,"(1, -2, 2)",1,Cd2Au2O4,43899,HO2,3.205691389999996
5961,83163,mp-997036,"(1, -2, 1)",2,Cd2Au2O4,81847,O,2.106740374999999
5962,5494,mp-997036,"(1, 2, 1)",4,Cd2Au2O4,10616,OH,1.4312561550000018
5965,82158,mp-997036,"(1, 0, 0)",4,Cd2Au2O4,81937,O,2.549794880000005
5966,32371,mp-997036,"(1, 2, 1)",2,Cd2Au2O4,10616,O,5.685348029999997
5967,6521,mp-997036,"(1, -1, -1)",1,Cd2Au2O4,24805,OH,1.2640748999999494
5969,81627,mp-997036,"(1, 0, 0)",1,Cd2Au2O4,81937,HO2,1.5249139400000025
5970,82913,mp-997036,"(1, 1, -1)",2,Cd2Au2O4,82034,O,2.461981395000007
5972,15669,mp-997036,"(1, 1, -2)",1,Cd2Au2O4,4052,OH,0.6513390900000025
5974,44552,mp-997036,"(1, -2, 2)",1,Cd2Au2O4,43899,OH,0.12135834000000961
5977,16524,mp-997036,"(1, 1, -2)",1,Cd2Au2O4,4052,H2O,-1.5367813299999913
5978,30278,mp-997036,"(1, 2, 1)",1,Cd2Au2O4,10616,O,2.291402330000009
5980,7171,mp-675654,"(1, 1, 1)",1,Cd2Bi6O11,79853,H2O,-1.159204840000024
5981,12365,mp-675654,"(0, 0, 1)",1,Cd2Bi6O11,21241,O2,-2.276610259999991
5982,1617,mp-675654,"(0, 0, 1)",1,Cd2Bi6O11,37192,HO2,0.4147161299999855
5983,9231,mp-675654,"(0, 0, 1)",8,Cd2Bi6O11,24062,O,0.1535153674999965
5984,27053,mp-675654,"(0, 0, 1)",1,Cd2Bi6O11,21241,OH,-3.803721770000001
5985,3694,mp-675654,"(0, 0, 1)",3,Cd2Bi6O11,21241,O,-0.6503809499999919
5988,13954,mp-675654,"(0, 0, 1)",4,Cd2Bi6O11,29782,O,-0.33253051250000243
5990,22836,mp-675654,"(0, 0, 1)",2,Cd2Bi6O11,37799,O,-0.1995924000000026
5991,1067,mp-675654,"(1, 1, 1)",1,Cd2Bi6O11,38554,HO2,3.945937780000006
5993,39297,mp-675654,"(0, 0, 1)",4,Cd2Bi6O11,37192,OH,-0.6795988200000004
5995,28311,mp-675654,"(0, 0, 1)",1,Cd2Bi6O11,29782,H2O,-3.951339049999996
5996,42938,mp-754978,"(1, 2, 0)",2,Cd2Cu4O6,44905,O,1.4091043399999963
5997,24269,mp-754978,"(2, 1, 0)",3,Cd2Cu4O6,31498,O,1.9400194233333417
5998,17940,mp-754978,"(0, 0, 1)",1,Cd2Cu4O6,29728,O2,4.663889519999991
6002,26101,mp-754978,"(1, 3, 0)",2,Cd2Cu4O6,10236,O,1.5360441049999995
6004,31675,mp-754978,"(2, 1, 0)",2,Cd2Cu4O6,31498,O,2.332608885000011
6005,42433,mp-754978,"(1, 2, 0)",1,Cd2Cu4O6,44905,OH,2.0375839599999868
6006,41261,mp-754978,"(1, 2, 0)",1,Cd2Cu4O6,44905,O,-0.5068849600000102
6007,42829,mp-754978,"(1, 2, 0)",1,Cd2Cu4O6,44905,HO2,3.550858010000011
6009,29923,mp-7762,"(2, 1, -2)",1,Cd2Ge4O10,8720,O2,3.536353339999998
6010,1006,mp-7762,"(1, 0, 1)",1,Cd2Ge4O10,767,HO2,4.071625599999945
6011,37997,mp-7762,"(1, 0, 1)",1,Cd2Ge4O10,767,O,1.2617949399999848
6012,6171,mp-7762,"(2, 1, -2)",2,Cd2Ge4O10,8720,O,2.0563618850000274
6013,31825,mp-7762,"(2, -1, -1)",2,Cd2Ge4O10,36124,O,2.7568122099999903
6014,30608,mp-7762,"(2, -1, -1)",1,Cd2Ge4O10,36124,O2,0.2381172200000421
6016,38571,mp-7762,"(1, 0, 1)",2,Cd2Ge4O10,767,O,1.874426505
6017,16499,mp-7762,"(1, 0, 1)",6,Cd2Ge4O10,767,OH,11.98900612833333
6018,16859,mp-7762,"(1, 0, 1)",1,Cd2Ge4O10,767,O2,3.814805769999957
6020,17127,mp-9146,"(0, 1, 2)",2,Cd2Hg2O4,19044,O,2.4631861349999986
6022,38281,mp-9146,"(1, 2, 0)",1,Cd2Hg2O4,31676,O2,4.79625669
6023,4947,mp-9146,"(2, 1, 2)",1,Cd2Hg2O4,33404,H2O,-0.8265503199999902
6024,44344,mp-9146,"(1, 2, -3)",1,Cd2Hg2O4,44065,OH,-0.5221485200000211
6025,35131,mp-9146,"(2, 1, 2)",2,Cd2Hg2O4,14633,OH,1.5895585399999936
6026,8128,mp-9146,"(2, 1, 2)",2,Cd2Hg2O4,14633,O,2.2266283299999805
6027,31687,mp-9146,"(2, 1, -2)",1,Cd2Hg2O4,4209,HO2,4.14003617
6028,41509,mp-9146,"(1, 2, -2)",2,Cd2Hg2O4,41659,OH,0.6591093399999954
6029,3972,mp-9146,"(1, 2, 0)",4,Cd2Hg2O4,31676,O,2.618652275
6031,37581,mp-9146,"(1, 0, -2)",2,Cd2Hg2O4,14006,O,2.425004964999997
6032,23010,mp-9146,"(1, 0, -2)",1,Cd2Hg2O4,14006,O,1.648432780000005
6033,23002,mp-9146,"(1, 2, 0)",2,Cd2Hg2O4,31676,O,2.366804239999991
6035,10744,mp-9146,"(0, 1, 2)",1,Cd2Hg2O4,19044,H2O,-0.3703479599999983
6036,33743,mp-9146,"(2, 1, -2)",2,Cd2Hg2O4,4209,O,2.475694860000002
6037,29632,mp-9146,"(1, 2, -2)",5,Cd2Hg2O4,3326,OH,1.536096252000002
6039,41288,mp-9146,"(1, 2, -2)",1,Cd2Hg2O4,41659,HO2,4.003568940000005
6041,22023,mp-9146,"(1, 2, -2)",1,Cd2Hg2O4,3326,H2O,-2.0698211799999857
6043,35567,mp-9146,"(1, 2, -2)",2,Cd2Hg2O4,3326,O,2.1733855799999993
6045,42267,mp-9146,"(1, 2, -2)",2,Cd2Hg2O4,41659,H2O,-0.6376410850000074
6047,41620,mp-9146,"(3, 1, -2)",3,Cd2Hg2O4,79088,OH,0.4600963633333204
6048,18595,mp-9146,"(0, 1, 2)",1,Cd2Hg2O4,19044,O,3.1004705999999924
6051,45994,mp-9146,"(1, 2, -2)",1,Cd2Hg2O4,41659,O2,5.001092989999982
6053,25962,mp-9146,"(2, 1, -2)",1,Cd2Hg2O4,4209,H2O,-0.864320309999977
6055,5664,mp-13119,"(3, -1, 0)",2,Cd2O2,651,O,2.4332038200000006
6057,21281,mp-13119,"(3, -1, 0)",1,Cd2O2,10800,HO2,5.019412079999978
6059,30518,mp-13119,"(3, 2, 0)",2,Cd2O2,4503,O,2.452515479999986
6061,10196,mp-13119,"(1, 0, 0)",1,Cd2O2,10991,OH,0.8582745800000373
6063,12195,mp-13119,"(1, 0, 0)",1,Cd2O2,79479,O2,0.0027225100000052
6064,10653,mp-13119,"(1, 0, 0)",1,Cd2O2,1619,OH,-0.2681026599999734
6065,20492,mp-13119,"(3, -1, 0)",2,Cd2O2,10800,O,2.652761709999998
6066,43921,mp-13119,"(1, 0, 0)",1,Cd2O2,45606,HO2,3.0569120599999997
6067,17877,mp-13119,"(1, 0, 0)",1,Cd2O2,79479,O,-0.789605080000032
6069,34207,mp-13119,"(3, -1, 0)",2,Cd2O2,10800,O,2.1729237350000026
6070,16292,mp-13119,"(1, 1, 0)",2,Cd2O2,18498,O,3.8623419600000073
6072,18286,mp-13119,"(3, -1, 0)",2,Cd2O2,651,O,2.0413678900000014
6073,22699,mp-13119,"(3, 1, 0)",2,Cd2O2,25734,O,2.309958430000021
6074,5394,mp-13119,"(1, 0, 0)",1,Cd2O2,79479,HO2,1.060645879999979
6075,22076,mp-13119,"(3, 2, 0)",1,Cd2O2,79520,H2O,-0.2139786700000119
6076,2315,mp-13119,"(3, 2, 0)",2,Cd2O2,491,O,2.485469779999986
6077,24797,mp-13119,"(3, 1, 0)",1,Cd2O2,25734,OH,0.38676729000000365
6078,38929,mp-13119,"(1, 0, 0)",1,Cd2O2,1619,H2O,-0.4081621199999805
6079,21836,mp-13119,"(3, -1, 0)",4,Cd2O2,10800,O,2.4795438425000014
6080,75,mp-13119,"(3, 2, 0)",1,Cd2O2,4503,O2,5.023209799999954
6083,31661,mp-13119,"(1, 1, 0)",6,Cd2O2,18498,O,2.532070263333336
6084,29976,mp-13119,"(1, 0, 0)",1,Cd2O2,1619,O2,4.1463057000000205
6085,33389,mp-13119,"(3, -1, 0)",1,Cd2O2,651,H2O,-3.094195629999996
6086,32831,mp-13119,"(3, 1, 0)",6,Cd2O2,25734,O,1.196330095000005
6088,81590,mp-13675,"(1, 0, 0)",1,Cd2Pd6O8,82515,HO2,-0.3353029700000174
6089,75448,mp-13675,"(1, 0, 0)",1,Cd2Pd6O8,75332,H2O,-1.1112368800000016
6091,81537,mp-13675,"(1, 0, 0)",2,Cd2Pd6O8,82515,OH,-0.26213299500000686
6092,76725,mp-13675,"(2, 1, 0)",2,Cd2Pd6O8,73788,O,1.315476829999992
6093,69619,mp-13675,"(3, 3, 1)",1,Cd2Pd6O8,78821,HO2,2.259775309999893
6094,74879,mp-13675,"(3, 3, 1)",1,Cd2Pd6O8,78821,O2,4.1202987799999775
6095,72293,mp-13675,"(2, 2, 1)",8,Cd2Pd6O8,70682,O,2.109747106249996
6096,74332,mp-13675,"(2, 1, 0)",1,Cd2Pd6O8,73788,H2O,-2.3918183599999967
6097,73142,mp-13675,"(1, 0, 0)",8,Cd2Pd6O8,75332,O,1.8742631324999988
6098,71401,mp-13675,"(3, 3, 1)",2,Cd2Pd6O8,80429,OH,0.6391406699999982
6099,71657,mp-13675,"(3, 3, 1)",2,Cd2Pd6O8,78821,O,1.7628064049999612
6100,76122,mp-13675,"(2, 1, 0)",1,Cd2Pd6O8,69892,H2O,-1.703897680000006
6101,68794,mp-13675,"(3, 3, 1)",10,Cd2Pd6O8,80429,O,2.2536428059999976
6105,78478,mp-13675,"(1, 0, 0)",1,Cd2Pd6O8,75332,HO2,1.2048169900000094
6107,69277,mp-13675,"(2, 1, 0)",2,Cd2Pd6O8,69892,O,1.8779497499999969
6109,72187,mp-13675,"(2, 2, 1)",1,Cd2Pd6O8,70682,HO2,3.457074509999982
6110,78132,mp-13675,"(2, 1, 0)",1,Cd2Pd6O8,69892,O2,5.947484439999975
6111,81527,mp-13675,"(1, 0, 0)",2,Cd2Pd6O8,81860,OH,-0.33111109500001645
6115,24310,mp-8212,"(0, 2, 1)",1,Cd2Pt6O12,37671,H2O,-0.5187442200000252
6117,35099,mp-8212,"(0, 2, 1)",1,Cd2Pt6O12,32337,H2O,-1.0207127700000402
6118,5835,mp-8212,"(0, 2, 1)",1,Cd2Pt6O12,38321,HO2,2.4676999499999943
6119,16439,mp-8212,"(0, 2, 1)",2,Cd2Pt6O12,37671,O,1.493962789999981
6120,9510,mp-8212,"(0, 2, 1)",1,Cd2Pt6O12,32337,HO2,3.5317401599999676
6122,36312,mp-8212,"(0, 2, 1)",2,Cd2Pt6O12,32337,O,2.0754591699999856
6124,30622,mp-8212,"(0, 2, 1)",2,Cd2Pt6O12,38321,O,1.8959705850000124
6125,31296,mp-8212,"(1, 3, 0)",2,Cd2Pt6O12,18319,O,2.7544520000000126
6127,73394,mp-1213850,"(2, 1, 0)",2,Cd2Pt6O8,75799,O,2.037206489999986
6129,76601,mp-1213850,"(2, 1, 0)",1,Cd2Pt6O8,74744,H2O,-1.9867299799999447
6132,76934,mp-1213850,"(2, 1, 0)",4,Cd2Pt6O8,75799,OH,-0.2650620100000134
6134,76706,mp-1213850,"(1, 1, 1)",2,Cd2Pt6O8,68848,O,1.4406107699999895
6136,73984,mp-1213850,"(1, 1, 1)",1,Cd2Pt6O8,68848,OH,-0.8430897800000048
6139,70750,mp-1213850,"(2, 1, 0)",2,Cd2Pt6O8,76785,O,1.0654126150000398
6141,71785,mp-1213850,"(2, 1, 0)",4,Cd2Pt6O8,74744,O,1.9370275175000107
6142,25518,mp-772052,"(0, 0, 1)",1,Cd2Se2O8,81389,HO2,5.274494860000002
6145,6838,mp-772052,"(1, 0, 0)",1,Cd2Se2O8,30178,O2,4.914641759999988
6146,13403,mp-772052,"(1, 0, 0)",2,Cd2Se2O8,30178,O,2.350633735
6147,12323,mp-772052,"(1, 0, 0)",1,Cd2Se2O8,30178,HO2,1.6084827999999878
6148,25925,mp-772052,"(0, 0, 1)",1,Cd2Se2O8,81389,H2O,-0.6095585500000258
6152,39623,mp-1182642,"(1, 0, 2)",1,Cd2Sn2O6,16483,H2O,-0.2615344699999529
6153,39663,mp-1182642,"(1, 0, 2)",1,Cd2Sn2O6,26541,O2,5.83139517
6154,14283,mp-1182642,"(1, 1, 1)",1,Cd2Sn2O6,35104,O2,5.06327529999998
6155,4168,mp-1182642,"(1, 0, 0)",1,Cd2Sn2O6,34899,H2O,-0.1857010399999925
6156,16403,mp-1182642,"(1, 1, 1)",5,Cd2Sn2O6,35104,O,2.124174283999996
6157,13275,mp-1182642,"(0, 0, 1)",7,Cd2Sn2O6,22204,O,2.040560417142852
6158,9089,mp-1182642,"(0, 0, 1)",1,Cd2Sn2O6,22204,O2,5.638446349999974
6160,39149,mp-1182642,"(0, 0, 1)",1,Cd2Sn2O6,22204,HO2,4.711709740000001
6161,29857,mp-1182642,"(1, 0, 2)",1,Cd2Sn2O6,16483,O,2.8417524400000196
6162,13776,mp-1182642,"(1, 0, 0)",2,Cd2Sn2O6,34899,O,1.4868001499999979
6165,30048,mp-1182642,"(1, 0, 2)",1,Cd2Sn2O6,26541,H2O,-1.8564237699999868
6167,9053,mp-1182642,"(1, 0, 0)",3,Cd2Sn2O6,34899,OH,0.056191853333330904
6168,10242,mp-1182642,"(1, 0, 2)",1,Cd2Sn2O6,26541,HO2,5.004074960000023
6169,19015,mp-1182642,"(1, 0, 0)",2,Cd2Sn2O6,7203,O,1.5537199199999965
6170,34680,mp-1182642,"(0, 0, 1)",2,Cd2Sn2O6,31343,O,2.3526369099999704
6172,22535,mp-1182642,"(1, 1, 1)",2,Cd2Sn2O6,35104,O,2.4916274199999844
6173,31307,mp-1182642,"(1, 0, 2)",2,Cd2Sn2O6,16483,O,2.806031400000021
6174,20074,mp-1182642,"(1, 0, 0)",1,Cd2Sn2O6,34899,HO2,3.542635209999998
6176,12857,mp-19387,"(0, 0, 1)",1,Cd2W2O8,13580,O,-4.388151400000001
6178,42460,mp-19387,"(0, 0, 1)",2,Cd2W2O8,45236,OH,4.331052875000021
6179,20129,mp-19387,"(2, 1, 2)",1,Cd2W2O8,15225,H2O,-0.7250009299999594
6180,18158,mp-19387,"(0, 1, 1)",2,Cd2W2O8,81188,O,1.0760438300000292
6181,12595,mp-19387,"(0, 2, 1)",2,Cd2W2O8,12826,O,-2.6204988450000166
6183,34211,mp-19387,"(0, 2, 1)",1,Cd2W2O8,12826,HO2,-2.814619440000004
6185,37203,mp-19387,"(2, 1, 2)",1,Cd2W2O8,15225,HO2,-1.4120550999999775
6186,42830,mp-19387,"(1, 1, 1)",1,Cd2W2O8,40945,OH,0.8367146100000389
6187,41171,mp-19387,"(0, 1, 1)",2,Cd2W2O8,44436,O,-1.828177374999998
6188,21285,mp-19387,"(1, 2, 1)",1,Cd2W2O8,11150,H2O,-0.6902974199999736
6190,9256,mp-19387,"(0, 1, 1)",2,Cd2W2O8,23786,O,2.4656032800000083
6192,44088,mp-19387,"(0, 1, 1)",1,Cd2W2O8,44436,H2O,0.2072849100000038
6193,17791,mp-19387,"(1, 2, 1)",2,Cd2W2O8,11150,O,0.8423658700000065
6194,24229,mp-19387,"(1, 2, 1)",1,Cd2W2O8,11150,HO2,3.088372499999989
6195,16605,mp-19387,"(1, 2, 1)",1,Cd2W2O8,10724,H2O,-0.5981145999999118
6196,34872,mp-19387,"(2, 1, 0)",1,Cd2W2O8,13039,HO2,3.371855499999922
6199,25472,mp-19387,"(0, 2, 1)",1,Cd2W2O8,12826,H2O,-1.594988070000051
6201,15635,mp-19387,"(1, 0, 1)",1,Cd2W2O8,79693,OH,2.0558210599999516
6202,24355,mp-996963,"(1, 0, 0)",1,Cd4Ag4O8,21947,HO2,4.275916239999998
6203,5414,mp-996963,"(2, 0, 1)",1,Cd4Ag4O8,81059,OH,-2.4773983699999658
6204,13829,mp-996963,"(2, 0, 1)",2,Cd4Ag4O8,81059,O,1.864765135000025
6206,6638,mp-996963,"(1, 0, 0)",2,Cd4Ag4O8,21947,O,2.3971854650000046
6207,32073,mp-996963,"(2, 0, 1)",1,Cd4Ag4O8,81059,H2O,-2.189162859999948
6210,26005,mp-996963,"(2, 0, 1)",1,Cd4Ag4O8,81059,HO2,0.7922982900000168
6212,5800,mp-996963,"(2, 0, 1)",1,Cd4Ag4O8,15205,HO2,0.9125952300000197
6214,30897,mp-754454,"(1, 0, 3)",2,Cd4Ag8O16,17403,O,2.4347981450000002
6215,6406,mp-997037,"(2, 2, 3)",2,Cd4Au4O8,4115,OH,1.7529769749999764
6218,20635,mp-997037,"(1, 3, 2)",2,Cd4Au4O8,19454,O,2.865100019999997
6221,12295,mp-997037,"(0, 2, 1)",1,Cd4Au4O8,80826,OH,0.3390177600000276
6222,8585,mp-997037,"(2, 2, 3)",1,Cd4Au4O8,4115,H2O,-1.5397015200000457
6225,6368,mp-997037,"(2, 2, 3)",1,Cd4Au4O8,4115,HO2,4.465092309999986
6226,16032,mp-676923,"(0, 1, 0)",1,Cd4Bi12O22,10948,HO2,5.044934450000025
6228,29559,mp-676923,"(0, 1, 0)",2,Cd4Bi12O22,10948,O,2.927869804999998
6229,35164,mp-676923,"(0, 1, 0)",2,Cd4Bi12O22,33279,O,2.2089948850000076
6230,35226,mp-676923,"(2, 1, 0)",2,Cd4Bi12O22,8107,O,1.4460782999999795
6231,31088,mp-676923,"(0, 1, 0)",1,Cd4Bi12O22,10948,OH,1.649830240000009
6232,16282,mp-676923,"(1, 2, 0)",1,Cd4Bi12O22,21606,O,3.332114770000002
6235,25722,mp-676923,"(0, 1, 0)",1,Cd4Bi12O22,28271,H2O,-0.1813932400000286
6236,23937,mp-676923,"(0, 1, 0)",2,Cd4Bi12O22,28271,O,3.090458920000001
6237,5555,mp-676923,"(0, 1, 0)",1,Cd4Bi12O22,33279,OH,0.7821649300000024
6239,29811,mp-752746,"(0, 1, 0)",2,Cd4Co4O12,5016,O,2.7099497249999707
6240,73918,mp-754042,"(0, 1, 0)",3,Cd4Co8O16,77343,O,2.8139906800000247
6243,14469,mp-772099,"(1, 1, 1)",1,Cd4Cu8O16,31900,H2O,-1.346834179999968
6246,21729,mp-1322456,"(0, 1, 0)",2,Cd4Fe4O12,17540,O,2.0887845150000124
6247,38770,mp-1322456,"(0, 1, 0)",1,Cd4Fe4O12,17540,H2O,-3.4489014299999727
6248,21767,mp-1322456,"(1, 0, -1)",1,Cd4Fe4O12,33666,HO2,2.9138818999999763
6252,12540,mp-1322456,"(1, 2, -1)",1,Cd4Fe4O12,24137,H2O,-2.379075179999967
6253,73404,mp-756190,"(1, 2, 0)",2,Cd4Ga8O16,70398,OH,-0.5698579149999625
6254,71852,mp-756190,"(0, 1, 0)",1,Cd4Ga8O16,68581,H2O,-0.6262585399999754
6255,68753,mp-756190,"(1, 0, 0)",1,Cd4Ga8O16,78640,H2O,-1.203780749999959
6256,71093,mp-756190,"(1, 1, 2)",2,Cd4Ga8O16,74528,O,4.353176124999973
6258,34124,mp-29213,"(1, 0, 1)",2,Cd4Ge14O32,80101,O,1.5941314050000106
6260,40083,mp-29213,"(1, 1, 1)",1,Cd4Ge14O32,8206,H2O,-0.5145507600000148
6261,27949,mp-29213,"(1, 1, 1)",3,Cd4Ge14O32,8206,OH,1.1096674900000112
6262,83238,mp-675464,"(1, 0, 1)",1,Cd4In8O16,83391,HO2,-0.05690982999999741
6264,78868,mp-19039,"(3, 1, 0)",1,Cd4Mo4O16,80243,H2O,-0.4311411000000991
6265,78940,mp-19039,"(3, 1, 0)",7,Cd4Mo4O16,80243,OH,1.105164828571427
6266,77659,mp-19039,"(3, 1, 0)",1,Cd4Mo4O16,80243,HO2,2.661342539999962
6267,27681,mp-1213890,"(1, 0, 0)",1,Cd4Mo6O16,30869,H2O,-0.3035674099999657
6268,82556,mp-1213890,"(1, 0, 0)",2,Cd4Mo6O16,82581,O,2.4366131399999893
6269,36434,mp-1213890,"(1, 0, 0)",1,Cd4Mo6O16,17174,H2O,-0.8326422800000106
6271,17482,mp-1213890,"(1, 0, 0)",2,Cd4Mo6O16,1407,O,1.3913669450000132
6272,32330,mp-1213890,"(1, 0, 0)",1,Cd4Mo6O16,30869,OH,0.021172469999991117
6274,81781,mp-1213890,"(1, 0, 0)",1,Cd4Mo6O16,82581,H2O,-0.454112849999996
6276,31223,mp-1213890,"(1, 0, 0)",1,Cd4Mo6O16,30869,HO2,-2.103250559999994
6277,24232,mp-1213890,"(1, 0, 0)",2,Cd4Mo6O16,17174,O,-1.022229769999998
6278,40432,mp-1213890,"(1, 0, 0)",1,Cd4Mo6O16,17174,HO2,-2.507801699999961
6282,16157,mp-1213890,"(1, 0, 0)",2,Cd4Mo6O16,30869,O,1.7020351900000013
6283,75833,mp-756341,"(1, 1, 1)",2,Cd4Ni8O16,69402,O,3.1967052350000222
6284,74376,mp-756341,"(1, 1, 1)",1,Cd4Ni8O16,68881,H2O,-0.4331414399999804
6285,78120,mp-756341,"(1, 1, 1)",2,Cd4Ni8O16,68881,O,3.1741436800000122
6286,71777,mp-756341,"(1, 1, 1)",1,Cd4Ni8O16,68881,HO2,3.0848161700000083
6288,73002,mp-756341,"(1, 1, 1)",1,Cd4Ni8O16,69402,HO2,3.086418930000034
6290,72266,mp-756341,"(2, 1, 0)",1,Cd4Ni8O16,70457,OH,1.741664039999913
6291,70849,mp-756341,"(1, 1, 1)",1,Cd4Ni8O16,68881,OH,3.0513019500000187
6292,45451,mp-1132,"(2, 1, 1)",1,Cd4O4,44043,HO2,3.434612290000016
6293,25542,mp-1132,"(2, 1, 0)",2,Cd4O4,18851,O,2.4684955149999985
6294,34841,mp-1132,"(1, 1, 0)",1,Cd4O4,10298,O2,4.359582719999985
6296,20813,mp-1132,"(2, 2, 1)",1,Cd4O4,33425,HO2,0.7740749599999479
6297,37064,mp-1132,"(2, 1, 0)",1,Cd4O4,14003,HO2,3.911311699999997
6299,32093,mp-1132,"(3, 1, 0)",2,Cd4O4,81302,O,1.588409345
6300,22089,mp-1132,"(3, 2, 0)",1,Cd4O4,30763,OH,-1.2996488000000193
6302,12186,mp-1132,"(2, 1, 0)",1,Cd4O4,18851,HO2,3.5842797699999926
6303,22856,mp-1132,"(3, 1, 0)",1,Cd4O4,3966,H2O,-0.0292921399999901
6304,7568,mp-1132,"(2, 2, 1)",1,Cd4O4,33425,H2O,-0.4956217600000006
6306,41668,mp-1132,"(2, 1, 1)",1,Cd4O4,44043,O,0.8235322000000143
6309,29673,mp-1132,"(1, 1, 0)",2,Cd4O4,14870,OH,-0.8380691000000036
6310,24005,mp-1132,"(2, 1, 0)",1,Cd4O4,14003,OH,-0.46632595999999693
6313,20615,mp-1132,"(1, 1, 0)",1,Cd4O4,14870,HO2,3.2304116000000227
6314,37189,mp-1132,"(3, 2, 0)",1,Cd4O4,30763,HO2,2.2567429599999946
6315,37992,mp-1132,"(2, 1, 0)",2,Cd4O4,14003,O,1.4589981649999946
6316,17541,mp-1132,"(3, 1, 0)",1,Cd4O4,3966,HO2,3.4387804600000016
6317,10842,mp-1132,"(1, 1, 0)",2,Cd4O4,10298,O,2.0180353650000007
6319,25960,mp-1132,"(3, 1, 0)",1,Cd4O4,3966,O2,3.3021641900000063
6321,4288,mp-1132,"(2, 1, 0)",1,Cd4O4,18851,H2O,-0.2846625900000052
6322,26661,mp-1132,"(3, 2, 0)",2,Cd4O4,30763,O,1.4273348699999933
6324,43951,mp-2310,"(1, 1, 0)",1,Cd4O8,40834,O,3.3124760200000174
6326,45120,mp-2310,"(1, 1, 0)",4,Cd4O8,40834,O,2.4548961199999986
6327,26155,mp-2310,"(1, 1, 0)",2,Cd4O8,29498,O,1.8305408649999864
6328,7514,mp-2310,"(1, 1, 0)",1,Cd4O8,29498,HO2,4.944143239999956
6329,35522,mp-2310,"(1, 1, 0)",1,Cd4O8,28344,HO2,3.5060083299999842
6331,30912,mp-2310,"(1, 1, 1)",1,Cd4O8,23843,HO2,2.4388493800000197
6332,9222,mp-2310,"(1, 1, 1)",5,Cd4O8,23843,O,2.3648557860000023
6333,11413,mp-2310,"(1, 1, 0)",1,Cd4O8,29498,H2O,-0.6094025800000455
6334,21137,mp-2310,"(1, 1, 0)",1,Cd4O8,28344,OH,0.17775593999997802
6338,24941,mp-9186,"(0, 0, 1)",2,Cd4Se4O12,24542,O,1.2321555850000128
6339,1460,mp-9186,"(1, 1, 0)",1,Cd4Se4O12,11952,H2O,-0.0367331300000106
6340,7794,mp-9186,"(1, 1, 0)",1,Cd4Se4O12,23423,H2O,-0.0968763899999718
6341,23676,mp-9186,"(1, 0, 0)",1,Cd4Se4O12,28006,O2,3.471752790000004
6343,14276,mp-9186,"(1, 1, 0)",2,Cd4Se4O12,11952,O,2.381071890000013
6345,5684,mp-9186,"(1, 1, 0)",2,Cd4Se4O12,23423,O,1.7416265950000114
6346,7682,mp-9186,"(0, 1, 0)",1,Cd4Se4O12,28290,HO2,4.56357489000001
6348,33853,mp-9186,"(1, 0, 0)",1,Cd4Se4O12,28006,HO2,1.9352145299999937
6349,29333,mp-9186,"(0, 1, 0)",1,Cd4Se4O12,28290,O,1.57201764999999
6350,21464,mp-9186,"(1, 0, 0)",2,Cd4Se4O12,28006,O,0.3707021900000005
6351,21884,mp-9186,"(1, 0, 0)",1,Cd4Se4O12,28006,H2O,-1.669048850000019
6352,27366,mp-9186,"(0, 1, 0)",3,Cd4Se4O12,28290,OH,0.7544206666666654
6353,1655,mp-9186,"(0, 1, 0)",1,Cd4Se4O12,28290,H2O,-1.075484130000001
6354,24999,mp-779156,"(1, 0, 0)",1,Cd4Se4O16,80754,OH,1.4727908399999967
6356,74167,mp-756703,"(0, 1, 0)",1,Cd4Se4O16,70754,H2O,0.2517055299999864
6357,71125,mp-756703,"(1, 0, -1)",2,Cd4Se4O16,73646,O,2.105484055000003
6360,74612,mp-756703,"(1, 0, 0)",2,Cd4Se4O16,73556,O,0.2387002000000085
6361,72931,mp-756703,"(0, 1, 0)",1,Cd4Se4O16,70754,O,2.6181147000000045
6362,77563,mp-761036,"(2, 0, 1)",1,Cd4Se4O16,76720,H2O,-0.104589240000104
6363,74193,mp-756703,"(0, 1, 0)",1,Cd4Se4O16,70754,OH,2.15707955999998
6364,69817,mp-756703,"(1, 0, -1)",1,Cd4Se4O16,73646,O2,4.772523889999995
6365,77230,mp-761036,"(2, 0, 1)",2,Cd4Se4O16,76720,O,2.4896698099999788
6367,76166,mp-761036,"(2, 0, 1)",1,Cd4Se4O16,76720,O,2.7280610499999773
6369,25749,mp-9178,"(1, 0, -1)",2,Cd4Se8O20,6062,O,2.1740612399999844
