sid,OH length 1,OH length 2,OO length,OOH angle 1,OOH angle 2
70517,[2.9342972977507484],[2.025683421813325],[1.2898193864592695],[35.396198096941006],[122.96137317836676]
32810,[1.9205385268749744],[0.9739420999042122],[1.5040117041615433],[30.021694156314304],[99.3874606462398]
25187,[1.947248708365004],[0.9987219746629052],[1.4675572166805797],[30.032535452477617],[102.62304693744927]
6500,[2.4992971579028653],[1.6483055897009609],[1.34917121799513],[37.5070460740391],[112.6011777633181]
11449,[1.9641104749480471],[1.0209785589031817],[1.474763233206014],[30.525851207254004],[102.27830264488227]
23579,[1.8796718003184745],[0.979743980503386],[1.4732771581165292],[31.0733329790914],[98.01899501195842]
12658,[1.849351137410665],[0.9854949028106644],[1.3891195152239706],[31.548225532512525],[100.93227407531894]
71839,[1.965404249876379],[1.01635012987269],[1.4722858104754264],[30.284974705330317],[102.78407999134022]
25080,[1.873504862075335],[0.9803715636693572],[1.449292084850892],[31.112838783124943],[99.07975251477647]
20535,[2.8306051331352533],[2.003916760017907],[1.3604314989847242],[40.60290808485789],[113.1765305087897]
68595,[2.6392151030148665],[0.9897708783975804],[2.8708812715907426],[20.133275938145008],[66.60937915996645]
41897,"[1.9832732860408324, 1.997351321551639]","[0.9771834875738504, 0.9809330155638388]","[1.5543054299651609, 1.5695788016328855]","[28.959267194239345, 28.869784424914982]","[100.67358115133348, 100.5463028318158]"
32990,[0.9865471842863156],[2.0435859778519845],[2.8910180208187075],[25.349247530564128],[11.928057918180263]
9951,[3.4316930985221115],[0.9928803911411694],[2.503486396696921],[6.894379425381294],[155.4874576493884]
37933,[1.9255350787322787],[0.9744967344489044],[1.4871396799568362],[29.802730249691912],[100.86734851843087]
40170,[3.4628879887849333],[0.9707912683470632],[2.7833352461417924],[12.82150019193784],[127.6660307971364]
35854,[1.8869698148307463],[0.9820154318774788],[1.433547401266026],[30.711328371367017],[101.08322338373029]
71060,[2.768554436312112],[2.55580763832266],[1.251395968179473],[67.07802446293388],[86.11633471016664]
31692,[3.726767037731954],[0.9674475420537484],[3.4379206460804665],[114.31782151994916],[122.15177777861057]
69496,[1.9424924454581645],[0.9799215119996852],[1.5207504310929398],[29.821963557058567],[99.66446187774358]
40067,[4.387343044644147],[0.9709376274452712],[3.88905987264184],[11.578549877636595],[114.91322339488016]
31038,[1.9387193254149675],[0.9873171277048944],[1.50026744048328],[30.062950740111784],[100.3656075472278]
41141,[3.7741364185138457],[3.555955431788584],[1.2332763498073884],[70.4163137670074],[90.51160272115108]
19529,[1.947825621218746],[0.986804516777524],[1.5157776217158458],[29.92239338356968],[100.06189082536297]
23412,[1.908697795364774],[0.9827075561042216],[1.4780071903534528],[30.490241613338657],[99.7693110198495]
23619,[1.9819298497854387],[0.9808940411521284],[1.543312814317504],[29.053223990096463],[101.12292523252567]
42389,"[3.911724299064663, 1.9030194607767164]","[0.973215624490424, 0.979318356718024]","[3.2997858099603903, 1.4738776895244452]","[12.090875564882287, 30.473662441600283]","[122.65753338355812, 99.77470202664696]"
18930,[1.885327164039396],[1.0227446735825827],[1.4053979641027412],[32.21238897983692],[100.69123072854056]
3837,[1.8551021284558324],[0.9866421700259996],[1.3790354801045916],[31.3465587295936],[102.00919010191728]
69864,[2.949693124764506],[1.926306031264671],[1.4861686706066732],[34.807783679287375],[119.06290266509656]
37222,[1.8931604069877723],[0.9803695272410792],[1.4101455958578148],[30.26709988005908],[103.26487814529624]
34729,[1.9057794237218093],[1.0064604975273868],[1.4469421864550789],[31.29512529403033],[100.39228555065245]
13849,[2.7404441987169825],[0.9698046580942602],[2.594548394820568],[20.713922740263428],[88.15333949767846]
7514,[1.9212010429594089],[0.9882345961778972],[1.4675983434447903],[30.310584271917534],[101.1426690947038]
5758,[2.2899384395536613],[0.9825950457659564],[3.077405739517562],[12.710512174649232],[30.848437734962683]
1118,[2.7990816093066706],[0.9771634648473736],[2.731128137588879],[20.306436565610102],[83.77189221175772]
25427,[1.9008589649766716],[1.0467038936639208],[1.3357226626197325],[32.097640556221464],[105.20815685146674]
32475,[4.945825724278688],[0.9690034310048288],[4.032741755846566],[4.162937985925895],[158.2524687965422]
34224,[3.353967407417368],[0.9754635503663334],[3.566282841218083],[15.822988710676618],[69.63869882843521]
19247,[3.8341056256824553],[0.9777723053322216],[3.0319256111742723],[9.405371611551123],[140.14795683593186]
36229,[3.530745381299361],[0.9702119455879334],[3.389092951798081],[15.94918681735093],[90.33892406124912]
4823,[2.9516535434786766],[2.4342981647221484],[1.35203611902766],[54.67984509775294],[98.3723314382662]
26327,[1.002317984292335],[2.7531621878088584],[2.9402947291239707],[69.43904011142396],[19.92986560987344]
69450,[1.8761380894170487],[1.0173072088731252],[1.4104653637418572],[32.28212623530116],[99.94405475104722]
19185,[1.9691249313275432],[0.9878133319464412],[1.498100161461056],[29.282796014986587],[102.83294859996866]
43008,[1.9231757601101307],[0.9777017304770214],[1.4900175166873952],[30.00896894311095],[100.33191318277647]
27352,[1.9350101499862988],[0.9854566965720212],[1.4784199840081709],[29.92205082403295],[101.63021790021143]
18985,[1.8249996117514025],[1.0057333201459062],[2.770509180255871],[8.743241572536384],[16.011538044495634]
43675,[3.1253607808404253],[0.9883913992585232],[3.5044958716787384],[15.853088738340077],[59.74453696113609]
42295,[1.9031956254662967],[1.0271770244585152],[1.4113563712667527],[31.93704282275986],[101.44115462585287]
4127,[2.108625529187659],[0.9775470565402252],[2.76889135535127],[17.157268111005873],[39.51813153780678]
30321,[2.259451191375515],[0.9814521193897856],[2.774636173157139],[119.5923800613925],[100.40584685920452]
19196,[1.709185528271936],[1.0103308489179832],[2.7116218355215937],[3.35533399452395],[5.682314331363361]
22837,[1.898678279986968],[0.989141158686836],[1.4755974035442745],[30.98130131019706],[98.8517016731896]
32603,[7.016116053146869],[0.974764816773951],[6.840401082472804],[7.93609987789028],[96.39191488420282]
31074,[1.9037074900816977],[0.9829999853337996],[1.464178016938622],[30.534858628391063],[100.28585078225012]
44637,[1.9206450719870287],[0.975410014044914],[1.4769690669738085],[29.888236145501185],[101.12637478537204]
12676,[1.0043778571619213],[1.8335140221711816],[2.8315876203208985],[5.16305224724597],[2.8255795865801616]
28557,[1.92061785712036],[0.9849139412296954],[1.4761413546161115],[30.25832812803695],[100.6970546328461]
26938,[1.9277960704176964],[0.9921170702604408],[1.4828154980404884],[30.40517057263672],[100.44408661943872]
41463,[2.038376724902941],[0.984889942870285],[2.773197932142342],[15.853814588909614],[34.42971245325439]
26579,[1.877785856315871],[0.9812136525331012],[1.4352573951866283],[30.939067803510586],[100.29428271880846]
36226,[2.176383300325793],[1.6021759156832718],[1.2844942891683508],[46.90915611513355],[97.25448552237955]
145,[1.907996291768496],[0.9788604227900556],[1.4645391467034592],[30.2608856152105],[100.8031578175205]
20428,[5.234078035926713],[0.977417983381767],[5.407409202945066],[123.74748887794212],[155.3451146190803]
28246,[1.9483410139719708],[0.9828323561070872],[1.562887238752009],[30.027639489772888],[97.245475486137]
9883,[1.7541567298496168],[0.9891794725109369],[2.6954902128864],[8.014617816316349],[14.314839625144591]
38453,[3.6212669648562543],[2.9354339125454514],[1.2517628088643775],[48.02195439222044],[113.49584666482818]
36127,[1.9682705789421744],[0.9911906295994644],[1.4899972406349058],[29.366680212686923],[103.14120577878631]
29966,[2.210364532887525],[2.315190003748933],[1.3430125939174002],[77.06205565156829],[68.51059354982331]
25382,[2.2980916733683587],[0.9703437786417968],[2.9386255161453234],[16.123672013495998],[41.12560336104362]
5753,[0.9715878809404812],[3.7621995018348495],[4.016354614689275],[68.02112713164291],[13.855901866772466]
3132,[1.9111980859994493],[0.9788191794678136],[1.4787664434994856],[30.27874918795359],[100.10348953547636]
41606,[1.917470158776239],[0.9810827578904538],[1.491415180150344],[30.29390373189682],[99.6360733032092]
6970,[0.9647039702780972],[3.920338365456556],[3.298129007725086],[124.0255892007004],[11.767768535249289]
5999,[2.416324802433792],[0.9873055322886664],[2.795570826030528],[20.199809980573335],[57.67974000789577]
20242,[1.939716202799392],[0.9756483777904597],[1.5102101114900903],[29.65571876875873],[100.3586586124176]
26204,[3.7065442450958073],[0.9678768346475234],[3.2239327891894582],[13.940023500672025],[112.69604794947128]
45019,[2.802136090322883],[1.9291737561829985],[1.467246499762222],[40.17313002011536],[110.44455338972952]
74233,[1.8536382958146167],[0.9868057479404142],[1.377665641212803],[31.384122735079064],[101.97672722816569]
18606,[1.9153141922857728],[0.9820584543129316],[1.463383263954608],[30.18710609544989],[101.28576505092784]
69900,[1.918958304558371],[0.9837412992494056],[1.4764115459863645],[30.256911745248114],[100.61040513284296]
33514,[2.4181054268819],[0.9763679046112306],[2.4933572033834843],[22.866439185871773],[74.23431381544584]
34578,[2.516474308025286],[2.326260414090534],[1.2869425883533043],[66.5517622093292],[82.94822670786924]
9814,[2.273752038536753],[1.4933593033924284],[1.500208936148249],[40.46368947506643],[98.84808052266006]
10351,[2.0805904414163283],[0.9814778876585938],[2.8456700415734426],[14.51501151240206],[32.09379963337255]
2273,[1.917105525002548],[1.019307230677594],[1.464682418686575],[31.63140462694676],[99.46483360067948]
42797,[1.889253330718017],[0.9842750038793424],[1.4105461642660355],[30.545585281083092],[102.70817921898993]
39298,[1.852511432753335],[0.985444268206606],[1.3899920141275024],[31.463358921108902],[101.12563575358256]
41795,[1.9209712255787017],[1.0012559370223983],[1.4379385887712952],[30.59725777335858],[102.4330387886355]
2071,[2.441229303793853],[1.8729070859238488],[1.29860310178286],[49.25659163832714],[99.05368496761598]
39978,[3.161740112113456],[0.97065103498738],[2.923178807753485],[146.23396218839292],[113.19239861947712]
23888,[1.947991800170994],[0.988132791794482],[1.4851823021777426],[29.74161207346035],[102.04499689953006]
35143,[2.5837741709073367],[0.9796891041219878],[2.9503517517382094],[18.9396894734296],[58.8713707660948]
41103,[3.861284016414385],[0.9824498371676492],[3.7860091437390566],[14.719489223002023],[86.99826638558886]
43148,[6.825088663637204],[0.968712305344541],[6.452693413913167],[77.76364945888005],[138.778458008185]
42372,[1.961407630684824],[0.99155695401103],[1.4745224864740545],[29.42405851201849],[103.64290797509416]
5691,[5.344722143721829],[4.322543446388144],[1.229714682151599],[29.91274318047916],[141.93124702968558]
44836,[2.415273084345224],[0.9755954659233208],[2.848773322493788],[19.179986441836704],[54.4250845679674]
222,[1.9120606134573117],[1.0178251539767946],[1.4702451414588875],[31.7381486295987],[98.80997470952644]
2105,[1.925448545105649],[0.9759312744716208],[1.4907099071517609],[29.88709473002979],[100.54908283259424]
6743,[2.945488007335274],[0.9748888445624452],[2.9847216987057408],[18.908970868461264],[78.27041126343632]
17804,[4.398703676673649],[0.9882198666373936],[4.232851596398816],[12.963431435614092],[93.11756416884865]
72941,[1.88665065196057],[0.9750712073255664],[1.4943290251126793],[30.83144782850008],[97.40668810142913]
6992,[2.2931695870889968],[0.97366118803411],[3.198170869661076],[7.6041114352417],[18.159186407862947]
13229,[1.9086074315431576],[1.008607348134168],[1.3831444746195625],[30.72615879186837],[104.79332777677]
73775,[3.130004093683311],[0.9748765734641982],[3.303488510623945],[17.157318348502137],[71.28656147547265]
37373,[1.9261397493035977],[0.9792768654991928],[1.4973586321407213],[30.04629055372484],[99.99400245098234]
20659,[3.260500426109444],[0.9743558302118888],[3.7010715465421296],[14.371627446027638],[56.15932102635329]
8154,[2.730061817366094],[0.9733175989192566],[2.827357174161877],[20.074442053902523],[74.31385661406814]
5109,[1.8801951434352508],[0.9791772564526368],[1.462576446157391],[30.976187033100192],[98.78030857372026]
31704,[2.001278149655864],[1.0536682662809456],[1.4948127087179537],[30.983843095097765],[102.10220466562828]
38776,[3.0966190966542864],[0.9713332087968956],[3.0411046810494917],[18.182125486155662],[84.14413632422911]
27699,[4.013657056191423],[0.9712620234526056],[3.56275854572771],[13.062550963755504],[110.93502791138836]
2034,[1.92746262991036],[0.9808811992692535],[1.5044943754304927],[30.122501474413788],[99.54624643647564]
37129,[2.929509623391466],[0.9683714898505434],[2.828703233868544],[19.25990554999916],[86.26079998281767]
9128,[1.8666296589560625],[0.9816812692932488],[1.4281121809370765],[31.20566701518882],[99.87990933126102]
13679,[8.578878845127853],[0.9818616855489922],[8.607835323684789],[6.547237179333568],[85.03916193520936]
5011,[1.8835172257981736],[0.9785691352731802],[1.4384777299936982],[30.702186247512035],[100.66094480680977]
39503,[1.952772184806204],[0.9769509212435892],[1.5010739725037918],[29.308117607194173],[101.91749362094497]
10181,[1.978851970422952],[1.017614510603879],[1.4853246569613023],[30.08573277610557],[102.8853547456579]
30478,[2.420403928873489],[1.650887861659614],[1.3089532849610257],[40.10783544143772],[109.17539026586284]
12725,[1.9180332214126967],[0.9808709434533626],[1.4353681843225448],[29.82169898499984],[103.48161179734478]
7400,[1.9151618888952375],[0.979372438022033],[1.462229320548368],[30.07471610730977],[101.49068272198782]
2156,[1.8629672647245992],[0.983319836209298],[1.4325078374906943],[31.39917899275497],[99.2253188568764]
2968,[1.9289200856292643],[0.9779364483155945],[1.483669745028889],[29.8248244525861],[101.189017675561]
23935,[3.3836145588966065],[0.9707963253365676],[3.1170882364912806],[16.52628564856723],[97.50194124926092]
3716,[3.549441852574551],[0.9753759160953016],[2.962903217012393],[13.802159370677389],[119.75351176052936]
82354,[1.878086297299399],[0.9801449749109776],[1.4494317539664],[30.98596203280078],[99.43295946399068]
5747,[1.9483919912719443],[0.9885462714106864],[1.4872823415645424],[29.764586215772567],[101.91307355906676]
15283,[1.915529454819536],[0.9761852508773058],[1.4856113663475912],[30.112486380550976],[100.11263061464332]
70695,[1.9225183900072205],[0.9733897798067322],[1.4974873356863847],[29.908819460318977],[99.99777102519089]
17754,[1.9245762893733904],[0.975675532380145],[1.481954565723253],[29.834891959010207],[101.08231680351886]
26098,[1.8999702858045],[0.986096975469567],[1.4479502508661737],[30.637831687735176],[100.91944528909283]
26903,[2.257335201198603],[1.8388459222036075],[1.4201990300280536],[54.41365350602805],[86.67695397313653]
19432,[1.8591985491624696],[0.9801954771016256],[1.4299333703375587],[31.35520106308893],[99.26094453160997]
19219,[1.8977304302906397],[0.9793529210603548],[1.4583288108264494],[30.503500157450024],[100.39763694574134]
851,[2.4731101628944767],[0.969783621901014],[2.821018934445509],[19.73354352275531],[59.435205505998034]
31108,[3.3985783259481743],[0.980430622492418],[3.894288809361993],[13.352191537468771],[53.179805363366974]
18904,[1.8989398607243824],[0.981058847975852],[1.4749623147668094],[30.65288428134124],[99.30587441551424]
28598,[1.7196145116672603],[1.0072526380918267],[2.7091931460482104],[4.988413316603015],[8.537181245620758]
77489,[1.907711906479652],[0.9808484196861508],[1.477566728922767],[30.439213667950547],[99.8148237364199]
28374,[1.9563429126407077],[0.9816785786469644],[1.4970290011301672],[29.36752024674018],[102.2271759388138]
75078,[1.9874766091802667],[0.9781610570658542],[2.926571844754505],[6.505248393623947],[13.308663233704126]
24134,[1.899922604942992],[0.9787812913055208],[1.4919110760309369],[30.64130453386704],[98.3852773550086]
21764,[2.4373971571226143],[1.685779517555845],[1.307796020315107],[41.02834016599676],[108.35792181350983]
42296,[1.9420276776603171],[1.010029178565523],[1.4657828489185751],[30.61045409498861],[101.74637749925148]
6612,[1.9454952649187511],[0.98203443769727],[1.4947024100568724],[29.64338183086344],[101.52272099035925]
8027,[1.936250891864572],[0.9763753894534688],[1.4595467516242404],[29.361774767287493],[103.5027292741502]
24895,[1.882711427186204],[0.9828705546600444],[1.4287745003404255],[30.82471004058781],[101.02628879604563]
32480,[1.8966188688271883],[1.0283121829836528],[1.4921752022390236],[32.63951347089379],[95.85675857326214]
22769,[1.930919788985703],[0.9753118420043824],[1.509935869320021],[29.85785697369076],[99.7208635532292]
28963,[2.939055319258809],[2.9456593268202145],[2.6022844809585863],[63.88546219959685],[63.62463343492519]
70841,[1.885873823223909],[0.9784386903562082],[1.4536963650161892],[30.743738598218023],[99.83574604096952]
41478,[3.0757919039623154],[3.4171356537992934],[1.3086815686662523],[93.58702106538368],[63.94135032064585]
14895,[3.211928996057821],[0.9681856293349436],[3.007471038948447],[17.51391930480626],[93.29008273309408]
14094,[1.952865638112991],[0.9772871404223052],[1.5189040438085957],[29.454103664129534],[100.70619676013716]
10600,[1.916391014686147],[0.979836364965292],[1.4828722837580957],[30.21488889620488],[100.17929826950753]
25473,[3.958399558975848],[4.216733699449733],[1.3945266167727957],[90.86781878749883],[69.82245613428726]
6001,[1.8634547810422724],[0.987903376544818],[1.3920466766356268],[31.271401265515408],[101.72058147124984]
34089,[2.044580622705809],[0.9904888160700496],[1.5704911538976187],[28.0872494874373],[103.62362700177104]
71544,[1.8920408412189371],[0.977863169092732],[1.4985972678107662],[30.83168030287121],[97.40647232340048]
21573,[1.8883103404433748],[0.9808156167181342],[1.4469822038156],[30.727980597739],[100.35003958110258]
12159,[2.4698582148080304],[1.687193651387047],[1.2957567199371411],[39.58931073967887],[111.10768397657333]
42801,[1.954014010191941],[0.9835706960314572],[1.4990322795548787],[29.51812619818148],[101.81274331821028]
20168,[1.903054152355992],[0.9896691636432384],[1.444510088932984],[30.672545441129213],[101.20430660612178]
19475,[1.9149455286613448],[1.0733355016857116],[1.3790885895680596],[33.25414193216302],[101.95192168982464]
10819,[2.004988722038442],[0.9957766754197136],[1.4886363301472842],[28.53141441958438],[105.90329422986773]
22809,[1.9026225991187289],[0.9783886830637264],[1.483038439330591],[30.50643957456664],[99.18707857572949]
7481,[6.130694857819173],[0.9748311373759194],[5.514228301083055],[7.446794849516769],[125.40409225255364]
76179,[1.868296821963477],[0.980228672431626],[1.4207971202308862],[31.048199618436747],[100.57154011980148]
29337,[1.931497905362745],[0.9793627223582232],[1.4765736829689786],[29.75812856103328],[101.79633681107248]
42216,[1.9158130252082248],[0.9902489028310346],[1.4220849513508007],[30.14294088567481],[103.7079892106287]
30613,[2.3798265117109354],[0.9759951792374728],[2.8806528257795256],[18.410367153683367],[50.361456165584805]
31551,[3.644536119896659],[0.9745187213526436],[3.56824013294103],[15.4828802646955],[86.70788792198776]
26082,[1.9855454871635223],[1.0118643371812956],[1.4438846043412323],[29.2375410127947],[106.57807774711615]
20706,[1.8988766700456616],[0.9923602764338868],[1.4687905485855877],[31.061154920370253],[99.15086705530152]
39490,[1.8733953176784],[0.9881479319182248],[1.3911252237019176],[30.98658209679566],[102.56174664933089]
77617,[5.939346907432329],[0.9757303176057386],[6.6045021388960095],[6.534179625708187],[43.84299548099722]
41362,"[1.927739354863497, 1.9509007867785144]","[0.980523633500531, 0.9787649124485932]","[1.4992005196261735, 1.498944704532277]","[30.067133271204536, 29.409966648116367]","[99.93320022594428, 101.82313416684065]"
70606,[3.241758233783719],[0.9673606287473282],[3.48485902236867],[16.01314979006376],[67.5837473531139]
44276,[3.614240253436128],[0.997697974295581],[2.911680103393132],[12.536573145421372],[128.1564128821091]
685,[2.313781501145515],[1.818986848233446],[1.514214601451576],[51.7536462261937],[87.4199454372794]
15470,[2.4133583461400123],[1.7820715649457846],[1.334240625718288],[46.55255812255958],[100.52100482130253]
70826,[2.005343373826751],[0.9814948260501168],[2.774988212745852],[14.83495006831859],[31.54173112488416]
18103,[3.208472707859979],[2.8888766491069684],[1.232406325821003],[63.99394941791526],[93.46102240135056]
26821,[2.4891310666813524],[1.8527796697236416],[1.33978816243482],[46.891734896989696],[101.24282985243872]
24824,[3.0234397304715084],[0.9726902163323792],[3.127031324495088],[18.09715007663505],[74.91419117934667]
6676,[1.8915625505219271],[0.9804389716747076],[1.4468891474034695],[30.625920886428847],[100.62790775625564]
37574,[1.9274429008456448],[0.9856639379293556],[1.4651002526601171],[30.022548924248696],[101.92892205523162]
74270,[1.9428014330263736],[0.9826055691866192],[1.4792371816398244],[29.61037583210482],[102.33104495895265]
35626,[3.0059378796493057],[0.9730952872162156],[3.0105083687399743],[18.615519963410726],[80.42667215471211]
21911,[5.170942848031135],[0.971518514724498],[4.460818046627908],[7.915720754290112],[132.86150121257285]
36716,[2.075120814999641],[1.0753635698685096],[1.5057732010747893],[29.90818250535783],[105.81075819893464]
74731,[1.9185163639310028],[0.9822578778427477],[1.4777495254566029],[30.21947463931559],[100.5620254540825]
21701,[1.9003056687629631],[0.9797902913432728],[1.468403398967505],[30.524774930859277],[99.90496969040352]
18220,[3.6077204650414103],[0.9828678513468404],[3.871230820855724],[14.556184251274535],[67.29888918035711]
441,[1.9019655360249563],[0.9806749599362596],[1.4690223593105798],[30.52138821165937],[99.94742501941394]
22755,[2.541460466560097],[2.0945117702586624],[1.282865326164763],[55.23924555023059],[94.54986913554616]
29253,[3.1423156256805087],[0.970466773913598],[3.082693878692581],[17.904431659051042],[84.5270750847989]
16821,[1.9074381690223536],[0.9850085313059216],[1.442296043954982],[30.346658507020734],[101.94045364596134]
74094,[3.479693858563598],[0.9769676976969592],[3.6050717424418295],[15.722905520809478],[74.8349093417755]
370,[1.9417816236309184],[0.9825624442256876],[1.4911861583841362],[29.73238493442249],[101.44472637788388]
40544,[4.258214667143915],[0.9631489226393358],[3.3407544255560797],[4.453992921689753],[159.9195473456762]
19951,[1.9251480077041063],[0.9779249451355704],[1.5064721642636714],[30.077872012692666],[99.38364460261874]
29433,[3.830971498695224],[0.9754121838141852],[3.102840694278916],[10.80199729598161],[132.6012506956703]
36056,[3.1120894493454725],[0.974526027087314],[3.256813556604912],[17.410980244577935],[72.85319813552866]
43376,[5.280803549209882],[1.0027414037627802],[5.34972092252075],[161.5278948956677],[106.71655281677504]
43562,[2.0681475817994186],[0.980507121215364],[2.8675776446325383],[13.387414123060951],[29.233278949511305]
17966,[3.426919665712026],[0.970201880097606],[2.938623917761948],[15.181122531186018],[112.33554845197813]
17882,[2.960776261046323],[2.9512242720264465],[1.3459625115591736],[76.44467094564342],[77.23655240676646]
24229,[2.712784624609528],[1.7323191070158348],[1.5213993441015117],[36.05982305811644],[112.81158191078654]
35221,[3.5427552648671385],[0.9755742693490038],[2.6627694606983283],[7.8626030273820335],[150.21307053051328]
12186,[2.4476573550460152],[1.747507829885193],[1.320696218666025],[43.60580328690716],[104.9785853076076]
32163,[2.011756715989262],[1.0142808475506069],[1.5414883344234598],[29.56622185661449],[101.85153961546985]
38230,[2.1355895167886194],[0.9831255986568964],[2.878546777538765],[14.920854198752805],[34.00874314460579]
17459,[1.930842084373156],[0.97769927320278],[1.4769105265121218],[29.712163010905257],[101.80844123939308]
40992,[2.366819378623857],[1.8905977708177013],[1.3454331654384253],[52.945592808359706],[92.44788221602045]
75677,[1.89341155073788],[0.9787773642447012],[1.4728127921656071],[30.689101860102536],[99.13697950410966]
15537,[1.9333178304271403],[0.9819492004097844],[1.4869345577125015],[29.89395852829465],[101.1063745340934]
8686,[1.9265451584753064],[0.9806495515779148],[1.4898450595195272],[30.037594534088036],[100.45546058872084]
37623,[1.9054295069938805],[1.0193516328022656],[1.454072787157506],[31.869986644081298],[99.26463300497876]
73489,[1.921630229569588],[0.9812544648320892],[1.4939311300196754],[30.21306228453871],[99.77903697872036]
45210,[3.880209042157124],[0.988315223128404],[3.2166408812500404],[11.89972492655909],[125.94736690625304]
34934,[2.9591738814403263],[2.59591233940313],[1.23409129422157],[61.00011661886239],[94.43062757249668]
29530,[3.047892956524909],[0.9747140324064516],[3.1149086652212774],[18.157974056107243],[77.0280442554956]
34014,[2.967865857332137],[0.9742864584444404],[2.670053362356847],[18.96755975105267],[98.06361285048044]
7438,[3.981651207300783],[0.9763752425650752],[4.066703252953164],[145.20343515936514],[117.3472184805011]
21980,[1.962621486740029],[1.0186673763138316],[1.4842478796112393],[30.55205927761855],[101.66125746049136]
14307,[1.933365395879711],[0.98281208069563],[1.5088608231709373],[30.079638317580372],[99.61390236225894]
44277,[1.9705530531272888],[1.0538034294452223],[1.4948944958055623],[31.79792792485318],[99.8294840128234]
16758,[4.976734359700994],[0.9685474804093136],[4.624960453213225],[10.792980693234488],[105.8012370275816]
8625,[1.907268472308919],[0.9779792962770932],[1.490577522227652],[30.421573515256163],[99.06610902029132]
73693,[1.982348550317744],[0.98773132530216],[1.5182606007075068],[29.108113172758152],[102.49642192611785]
5627,[2.7504516340326166],[0.9775387763854708],[2.831550278355901],[20.10355347931996],[75.26258772912412]
6311,[1.913605148236892],[0.982860543554311],[1.480740864233014],[30.38988203986284],[99.95671817012176]
1870,[3.917823395573497],[0.96862349300742],[3.4383526563280644],[13.167453746862217],[112.87114085225268]
2646,[3.1914352926672582],[0.9762145227668706],[2.738780401479043],[153.90414890350544],[119.29260947914544]
22878,[1.911005672986117],[0.9797644151023422],[1.4928785933332411],[30.412671827835133],[99.11293256174828]
14459,[1.9001480258701189],[0.9787397595281208],[1.5021803812188934],[30.689927547458787],[97.74130145999956]
1690,[4.495607008933884],[0.9751806341569376],[4.221423007058919],[12.332190854314026],[100.06639813352598]
32565,[1.9583440131502143],[0.9769925544988484],[1.4964586255189418],[29.126821519872063],[102.66716910386644]
13140,[1.8940722653401725],[0.9836281706113564],[1.4437546159319274],[30.6640568562914],[100.86882480612066]
16034,[1.910512215909765],[0.9781948003311004],[1.4849146721797508],[30.313056520085727],[99.67492121244454]
41404,[2.51150744837347],[0.973944602895664],[2.6650283746908787],[21.424381898824038],[70.37791169087379]
24111,[1.874133042717272],[0.979125521872188],[1.4587911755021206],[31.10517917472131],[98.56839049903706]
40340,[3.345765560730239],[3.248088376896852],[1.2330435733588636],[74.79168226839562],[83.71908481460937]
27695,[1.955793114797599],[0.9841733795944556],[1.4891152375878105],[29.413119233570782],[102.59332367643572]
82778,[1.8631639421264237],[0.9864231875446788],[1.3757235754944088],[31.069706649948603],[102.89594200383048]
18185,[3.160747376377865],[2.977444314429834],[1.234321317242003],[70.15621749915331],[86.89291787508874]
78491,[1.889285676396544],[0.9892661371838876],[2.6648555273825782],[15.73086344075892],[31.18338685522716]
37991,[4.381198896188658],[0.9735105369780525],[3.654099611855364],[9.279901465709948],[133.4707350469914]
26203,[1.9564578373555408],[0.9800321931106908],[1.5672758784667418],[29.763442984848613],[97.68701508406116]
5393,[1.9153370388919555],[0.979247880319402],[1.494384606083318],[30.29470754906797],[99.36806639224548]
8375,[1.9032865220223127],[0.9796780920987932],[1.4701643354110432],[30.45581966305175],[100.02303671491588]
38729,[1.9074181833154975],[0.978148263239779],[1.4867672712760256],[30.40070785089633],[99.31914656072142]
81911,[2.3640896449708544],[1.8622492205677468],[1.3091254859812422],[51.718146068584886],[94.78984364325268]
10340,[1.8629158284632867],[0.9825488864460826],[1.3948439267055557],[31.08586117021138],[101.77734066853604]
37151,[1.930688127033103],[0.9777859594486406],[1.508507904788386],[29.949567938692343],[99.67738483003278]
19121,[4.339623206726795],[3.641966851709928],[3.342943607563828],[54.75421966696428],[76.68741572521537]
40665,[1.908170895409903],[0.980070419400716],[1.4853775970561882],[30.448180210819],[99.37406922918282]
34734,[2.753636461729129],[1.9048540802220173],[1.329118321723755],[38.599835642835714],[115.5949829163369]
39567,[1.9203995624990875],[0.9787365724968222],[1.4900103436721572],[30.119455401544386],[100.0679581230566]
20576,[4.181674152705857],[3.708395664080164],[2.742009868499624],[60.61369208721295],[79.2755373038629]
35963,[4.694791713281604],[0.971620577083082],[3.734497272991197],[2.024211515355202],[170.1731012428013]
42515,[1.9623376349218349],[0.9807597571041988],[1.519586409653377],[29.356823834906702],[101.215332221486]
31977,[2.150606443383741],[0.9837729929394808],[1.925168531302261],[27.219562137342685],[89.25917363461525]
26416,[3.190267324910511],[0.9745273589305856],[3.016150142997656],[17.78181447077334],[91.2763066893954]
26723,[2.87279256941337],[0.9750858728837716],[2.914350140692204],[19.382983972794325],[77.90073765809304]
15299,[2.947227677477005],[0.9758875222776012],[3.073427747494262],[18.502510587834436],[73.41572661162397]
83035,[2.149881919975478],[0.9835946873059692],[2.9886473964542426],[11.632399516806297],[26.14948818909304]
